Razao;Codigo;Setor;Pais de Origem
HOLLYFRONTIER CORP;H1FC34;"Petróleo, Gás e Biocombustíveis";EUA
HOLOGIC INC;H1OL34;Saúde;EUA
HOME DEPOT;HOME34;Lojas de melhorias domiciliares;EUA
HONDA MO;HOND34;Automóveis;Japão
HORIZON THERAPEUTICS PLC;H1ZN34;Farmacêutico;EUA
HORMEL FOODS;H1RL34;Alimentos;EUA
HOST HOTELS ;H1ST34;Hóteis;EUA
HOWMET AEROSPACE INC;ARNC34;Materiais Básicos ;EUA
HSBC HOLDINGS PLC;H1SB34;Financeiro;Reino Unido
HUAZHU GROUP LTD;H1TH34;Hotelaria;China
HUBSPOT;H2UB34;Tecnologia;EUA
HUMANA INC;H1UM34;Seguros;EUA
HUNTINGTON B;H1BA34;Instituição Financeira;EUA
HUNTINGTON INGALLS INDUSTRIES INC;H1II34;Construção;EUA
IAC INTERACTIVECORPORATION;I1AC34;Comunicação;EUA
ICICI BANK LTD;I1BN34;Financeiro;India
IDEX CORPORATION;I1EX34;Maquinario Industrial;EUA
IDEXX LABORATORIES INC;I1DX34;Diagnósticos veterinários;EUA
IHS MARKIT LTD;I1NF34;Serviços;EUA
ILLINOIS TOOL WORKS INC;I1TW34;Industria diversificada;EUA
ILLUMINA INC;I1LM34;Biotecnologia;EUA
INCYTE CORP;I1NC34;Farmacêuticos;EUA
INFOSYS LTD;I1FO34;Tecnologia;India
ING GROEP;INGG3;Instituição Financeira;Holanda
INGERSOLL-RAND PLC;I1RP34;Produtos industriais diversos;EUA
INTEL;ITLC34;Semicondutor amplo;EUA
INTERCONTINENTAL EXCHANGE INC;I1CE34;Serviços Financeiros ;EUA
INTERCONTINENTAL HOTELS GROUP PLC;I1HG34;Hotelaria;Reino Unido
INTERNATIONA;I1PC34;Papel e Celulose;EUA
INTERNATIONAL FLAVORS & FRAGRANCES INC;I1FF34;Perfumes e Sabores;EUA
INTERPUBLIC GROUP OF COS INC;I1PH34;Publicidade;EUA
INTUIT INC;INTU34;Tecnologia;EUA
INTUITIVE SURGICAL INC;I1SR34;Saúde;EUA
INVESCO LTD;I1VZ34;Instituição Financeira;EUA
INVEST BCORP;ISBC34;Serviços Financeiros ;EUA
IPG PHOTONICS CORP;I1PG34;Lasers de fibra;EUA
IQIYI INC;I1QY34;Comunicação;China
IQVIA HOLDINGS INC;I1QV34;Consultoria;EUA
IRON MOUNTAIN INC;I1RM34;Armazenamento de informações;EUA
JACK HENRY & ASSOCIATES INC;J1KH34;Tecnologia;EUA
JACOBS ENGINEERING GROUP INC;J1EG34;Serviços;EUA
JB HUNT TRANSPORT SERVICES INC;J1BH34;Transportes e logística;EUA
JD COM;JDCO34;Tecnologia / E-Commerce;China
JEFFERIES FINANCIAL GROUP INC;J1EF34;Serviços Financeiros ;EUA
JOHNSON CONT;J1CI34;Energia;EUA
JPMORGAN;JPMC34;Bancos;EUA
JUNIPER NETWORKS INC;J1NP34;Tecnologia;EUA
KANSAS CITY SOUTHERN;K1CS34;Ferroviário;EUA
KB FINANCIAL GROUP INC;K1BF34;Financeiro;"Korea, Republic of"
KELLOGG CO;K1EL34;Alimentos;EUA
KEMPER CORP;KMPR34;Serviços Financeiros ;EUA
KEYCORP;K1EY34;Instituição Financeira;EUA
KEYSIGHT TECHNOLOGIES INC;K1SG34;Equipamentos eletrônicos;EUA
KIMCO REALTY CORP;K1IM34;Fundo de investimento imobiliário;EUA
KINDER MORGA;KMIC34;Energia ;EUA
KLA CORP;K1LA34;Semicondutores;EUA
KOHLS CORP;K1SS34;Roupas e Calçados;EUA
KOPHILIPS;PHGN34;Tecnologia;Holanda
KROGER CO;K1RC34;Supermercados;EUA
KT CORP;K1TC34;Comunicação;Coreia
L BRANDS;LBRN34;Consumo;EUA
L3HARRIS TECHNOLOGIES INC;L1HX34;Tecnologia;EUA
LABORATORY CORP OF AMERICA HOLDINGS;L1CA34;Laboratórios clínicos;EUA
LAM RESEARCH CORP;L1RC34;Semicondutores;EUA
LAMB WESTON HOLDINGS INC;L1WH34;Alimentos;EUA
LAS VEGAS SANDS CORPORATION;L1VS34;Hotelaria;EUA
LEGGETT & PLATT INC;L1EG34;Industria diversificada;EUA
LEIDOS HOLDINGS INC;L1DO34;Tecnologia;EUA
LENNAR CORP;L1EN34;Construção;EUA
LIBERTY BROA;LBRD34;Comunicação ;EUA
LIBERTY GLOB;L1BT34;Telecomunicações;EUA
LIBERTY GLOBAL PLC;L1BT35;Comunicação;Reino Unido
LIBERTY MEDI;LSXM34;Comunicação ;EUA
LIBERTY MEDIA CORPORATION;LSXM35;Comunicação;EUA
LILLY;LILY34;Farmacêuticos;EUA
LINCOLN NATIONAL CORP;L1NC34;Holding;EUA
LINDE PLC;L1IN34;Químicos;EUA
LIVE NATION ENTERTAINMENT INC;L1YV34;Teatro;EUA
LKQ CORP;L1KQ34;Peças Automotivas;EUA
LLOYDS BANKING GROUP PLC;L1YG34;Financeiro;Reino Unido
LOEWS CORP;L1OE34;Holding;EUA
LOWE’S COMPA;LOWC34;Comércio – Construção ;EUA
LULULEMON ATHLETICA INC;L1UL34;Varejista de roupas ;EUA
LUMEN TECHNOLOGIES INC;L1MN34;Tecnologia;EUA
LYONDELLBASELL INDUSTRIES NV;L1YB34;Químicos;EUA
M&T BANK CORP;M1TB34;Instituição Financeira;EUA
MACY S;MACY34;"Tecidos, Vestuário e Calçados";EUA
MARATHON OIL;M1RO34;"Petróleo, Gás e Biocombustíveis";EUA
MARATHON PET;M1PC34;"Petróleo, Gás e Biocombustíveis";EUA
MARKEL CORP;MKLC34;Serviços Financeiros ;EUA
MARKETAXESS HOLDINGS INC;M1KT34;Financeiro;EUA
MARRIOTT INTERNATIONAL INC;M1TT34;Hotéis;EUA
